,Assets,Industry,Returns,Volatility,Sharpe,Return over drawdown,Weights,Level
0,"['SCHO Adj Close', 'SJNK Adj Close', 'MINT Adj Close', 'SPTI Adj Close']","['Government', 'Corporate', 'Broad', 'Government']",0.04000000000009601,0.01917191079446164,2.0863856727129755,0.3608064482058506,"[0.399999092604239, 0.14944212901791604, 0.04814618078395356, 0.3999999999999996]",aggressive
0,"['SCHO Adj Close', 'VGIT Adj Close', 'STIP Adj Close', 'SGOL Adj Close']","['Government', 'Government', 'Government', 'Precious Metals Gold']",0.04000000000000016,0.018772444508149064,2.1307827002837203,0.4542706788028068,"[0.39999982057236794, 0.16138972704051252, 0.3999999999999999, 0.03851864568715518]",aggressive
0,"['VGIT Adj Close', 'EBND Adj Close', 'SPTS Adj Close', 'FIXD Adj Close']","['Government', 'Government', 'Government', 'Broad Market']",0.04071945410704093,0.023311166040827475,1.7467789485830247,0.44802419555986295,"[0.38919813488295263, 0.088351128289191, 0.4, 0.12245073682785643]",aggressive
0,"['HYLB Adj Close', 'BNDX Adj Close', 'MBB Adj Close', 'VGSH Adj Close', 'SCHR Adj Close']","['Corporate', 'Broad', 'Government', 'Government', 'Government']",0.04034592454778438,0.019657026546128227,2.0524937712785034,0.4444261151515547,"[0.10193810317093178, 0.05460099201354102, 0.07559615435364694, 0.40000000000003655, 0.3678647504618545]",aggressive
0,"['FBND Adj Close', 'VGSH Adj Close', 'FIXD Adj Close', 'GLD Adj Close', 'SCHR Adj Close']","['Broad', 'Government', 'Broad Market', 'Precious Metals Gold', 'Government']",0.044114323773016634,0.026050377817239626,1.6934235688444659,0.5032158279227301,"[0.048200947850053556, 0.4000000000000001, 0.1252355792346389, 0.03094688520056481, 0.3956165877147427]",aggressive
0,"['VGSH Adj Close', 'SHY Adj Close', 'SJNK Adj Close', 'SCHR Adj Close']","['Government', 'Government', 'Corporate', 'Government']",0.0400000000259537,0.018734597390395003,2.1350872502048643,0.44503786489732766,"[0.4000000000000002, 0.0638292359624209, 0.15377562560830227, 0.38239513842927597]",aggressive
0,"['SCHR Adj Close', 'SHY Adj Close', 'IEI Adj Close', 'VCIT Adj Close']","['Government', 'Government', 'Government', 'Corporate']",0.040920116974206826,0.023242562322493873,1.7605682371175069,0.4986480402809048,"[0.08474331186614166, 0.3999999999999993, 0.39998495685142793, 0.11527173128243133]",aggressive
0,"['FIXD Adj Close', 'BND Adj Close', 'SCHR Adj Close', 'SCHO Adj Close']","['Broad Market', 'Broad', 'Government', 'Government']",0.041567449451788786,0.024982331198862458,1.6638739243710576,0.677463628906884,"[0.15098001555855048, 0.04902116413902279, 0.39999882030243106, 0.39999999999999564]",aggressive
0,"['VGIT Adj Close', 'USIG Adj Close', 'VGSH Adj Close', 'SGOL Adj Close']","['Government', 'Corporate', 'Government', 'Precious Metals Gold']",0.04343197611706418,0.025587145739065748,1.697413871792407,0.5437548678305251,"[0.44571659245153916, 0.06929202532632618, 0.44571739151237416, 0.038553079563267756]",aggressive
0,"['SCHO Adj Close', 'SPMB Adj Close', 'IEI Adj Close', 'GLDM Adj Close']","['Government', 'Government', 'Government', 'Precious Metals Gold']",0.04402820293836649,0.02712721701149637,1.6230269002422024,0.5473150377812681,"[0.3999915228947152, 0.11381015209286534, 0.4, 0.08619832501241949]",aggressive
0,"['STIP Adj Close', 'IEI Adj Close', 'MBB Adj Close', 'SCHO Adj Close']","['Government', 'Government', 'Government', 'Government']",0.04000000000025895,0.019652328211097348,2.035382249400435,0.49771997325980166,"[0.4000000000000001, 0.37275526917918306, 0.05645589703624013, 0.17078883378457704]",aggressive
0,"['BIV Adj Close', 'SCHO Adj Close', 'FIXD Adj Close', 'SCHR Adj Close']","['Broad', 'Government', 'Broad Market', 'Government']",0.043108271638809585,0.02564963004317805,1.6806586124728513,0.4955252848112728,"[0.13841135345275707, 0.39999999999974123, 0.10408044424377694, 0.35750820230366115]",aggressive
0,"['SIVR Adj Close', 'IEI Adj Close', 'PULS Adj Close', 'SCHO Adj Close', 'VMBS Adj Close']","['Precious Metals Silver', 'Government', 'Broad', 'Government', 'Government']",0.04000000000001437,0.021174918127615888,1.8890273746960657,0.5693301654746223,"[0.036266635089844, 0.400000000000001, 0.11596145612254281, 0.3999711511569819, 0.047800757630630346]",aggressive
