Datetime,open,high,low,close,Adj Close,Volume,candlestick_pattern,candlestick_match_count,signal
2021-08-06 09:30:00+08:00,26262.970703125,26262.970703125,26027.3203125,26103.9296875,26103.9296875,0,NO_PATTERN,0.0,None
2021-08-06 09:35:00+08:00,26105.580078125,26136.119140625,26002.41015625,26028.990234375,26028.990234375,0,NO_PATTERN,0.0,None
2021-08-06 09:40:00+08:00,26027.439453125,26147.1796875,26021.9609375,26133.830078125,26133.830078125,0,CDLENGULFING_Bull,1.0,Buy
2021-08-06 09:45:00+08:00,26137.5,26138.66015625,26052.5390625,26090.529296875,26090.529296875,0,NO_PATTERN,0.0,None
2021-08-06 09:50:00+08:00,26094.029296875,26122.5703125,26073.279296875,26122.5703125,26122.5703125,0,NO_PATTERN,0.0,None
2021-08-06 09:55:00+08:00,26119.359375,26199.380859375,26099.55078125,26195.4609375,26195.4609375,0,CDLHIKKAKE_Bear,1.0,Sell
2021-08-06 10:00:00+08:00,26191.150390625,26192.7890625,26125.16015625,26152.279296875,26152.279296875,0,NO_PATTERN,0.0,None
2021-08-06 10:05:00+08:00,26152.330078125,26205.580078125,26149.25,26199.060546875,26199.060546875,0,CDLHIKKAKE_Bear,1.0,Sell
2021-08-06 10:10:00+08:00,26198.150390625,26199.150390625,26150.599609375,26186.91015625,26186.91015625,0,NO_PATTERN,0.0,None
2021-08-06 10:15:00+08:00,26184.41015625,26187.75,26166.599609375,26175.66015625,26175.66015625,0,NO_PATTERN,0.0,None
2021-08-06 10:20:00+08:00,26174.509765625,26175.439453125,26114.349609375,26129.7890625,26129.7890625,0,CDLHIKKAKE_Bull,1.0,Buy
2021-08-06 10:25:00+08:00,26128.109375,26152.349609375,26101.119140625,26125.490234375,26125.490234375,0,CDLRICKSHAWMAN_Bull,5.0,Buy
2021-08-06 10:30:00+08:00,26126.91015625,26153.5390625,26114.19921875,26134.48046875,26134.48046875,0,CDLXSIDEGAP3METHODS_Bear,2.0,Sell
2021-08-06 10:35:00+08:00,26133.2890625,26136.640625,26091.669921875,26093.2890625,26093.2890625,0,CDLCLOSINGMARUBOZU_Bear,3.0,Sell
2021-08-06 10:40:00+08:00,26090.6796875,26103.310546875,26079.619140625,26096.220703125,26096.220703125,0,CDLTHRUSTING_Bear,2.0,Sell
2021-08-06 10:45:00+08:00,26096.91015625,26098.080078125,26052.2109375,26058.990234375,26058.990234375,0,CDLBELTHOLD_Bear,2.0,Sell
2021-08-06 10:50:00+08:00,26059.359375,26109.16015625,26054.1796875,26095.369140625,26095.369140625,0,NO_PATTERN,0.0,None
2021-08-06 10:55:00+08:00,26093.439453125,26093.439453125,26074.4296875,26091.349609375,26091.349609375,0,CDLLONGLEGGEDDOJI_Bull,6.0,Buy
2021-08-06 11:00:00+08:00,26091.650390625,26127.98046875,26091.58984375,26123.76953125,26123.76953125,0,CDLSEPARATINGLINES_Bull,3.0,Buy
2021-08-06 11:05:00+08:00,26125.419921875,26165.599609375,26125.419921875,26133.630859375,26133.630859375,0,CDLSHOOTINGSTAR_Bear,1.0,Sell
2021-08-06 11:10:00+08:00,26134.7109375,26135.66015625,26108.2890625,26109.7109375,26109.7109375,0,CDLEVENINGSTAR_Bear,5.0,Sell
2021-08-06 11:15:00+08:00,26118.080078125,26126.69921875,26101.279296875,26110.189453125,26110.189453125,0,CDLMATCHINGLOW_Bull,4.0,Buy
2021-08-06 11:20:00+08:00,26106.140625,26129.109375,26106.140625,26123.349609375,26123.349609375,0,CDLUNIQUE3RIVER_Bull,2.0,Buy
2021-08-06 11:25:00+08:00,26123.140625,26168.4296875,26121.3203125,26155.310546875,26155.310546875,0,CDL3OUTSIDE_Bull,2.0,Buy
2021-08-06 11:30:00+08:00,26156.349609375,26170.759765625,26143.400390625,26150.279296875,26150.279296875,0,CDLSPINNINGTOP_Bear,1.0,Sell
2021-08-06 11:35:00+08:00,26150.51953125,26207.990234375,26147.9609375,26206.5703125,26206.5703125,0,CDLBELTHOLD_Bull,3.0,Buy
2021-08-06 11:40:00+08:00,26206.25,26220.359375,26194.5390625,26196.66015625,26196.66015625,0,CDLHARAMI_Bear,1.0,Sell
2021-08-06 11:45:00+08:00,26196.6796875,26216.119140625,26176.91015625,26178.1796875,26178.1796875,0,NO_PATTERN,0.0,None
2021-08-06 11:50:00+08:00,26179.029296875,26191.580078125,26167.33984375,26170.7890625,26170.7890625,0,CDL3BLACKCROWS_Bear,2.0,Sell
2021-08-06 11:55:00+08:00,26171.33984375,26205.76953125,26167.2109375,26204.759765625,26204.759765625,0,CDLCLOSINGMARUBOZU_Bull,1.0,Buy
